TxnID,TxnDate,UserID,StateCode,AppID,Amount,Status,BankID,TxnType,Channel,DeviceOS,SettlementDelayHours,SettlementStatus,PendingTxns,FrozenFunds,,,,,,,,,,,
674250,16-02-2024,U0084086,bihar,paytm,521,Success,244,P2P,App,iOS,1.76,Settled,0,0,,,,,,,,,,,
674251,08-02-2024,U0368029,sikkim,bhim,724,Success,683,Bill,Web,Android,3.38,Settled,0,0,,,,,,,,,,,
674252,10-02-2024,U0160234,punjab,phonepe,340,Success,333,Bill,App,iOS,0.48,Settled,0,0,,,,,,,,,,,
674253,11-02-2024,U0064238,jharkhand,paytm,149,Success,287,Bill,App,Android,3.8,Settled,0,0,,,,,,,,,,,
674254,01-02-2024,U0080212,jharkhand,paytm,3374,Success,113,P2P,App,Android,0.22,Settled,0,0,,,,,,,,,,,
674255,13-02-2024,U0322288,madhya_pradesh,phonepe,24,Success,998,Recharge,App,Android,3.21,Settled,0,0,,,,,,,,,,,
674256,22-02-2024,U0014648,uttarakhand,phonepe,462,Success,347,Recharge,App,Android,1.74,Settled,0,0,,,,,,,,,,,
674257,01-02-2024,U0392033,telangana,google_pay,979,Success,304,Bill,App,Android,3.81,Settled,0,0,,,,,,,,,,,
674258,18-02-2024,U0489684,chandigarh,google_pay,156,Success,739,Recharge,App,Android,3.42,Settled,0,0,,,,,,,,,,,
674259,02-02-2024,U0473840,jammu_kashmir,supermoney,582,Success,907,Recharge,App,Android,0.1,Settled,0,0,,,,,,,,,,,
674260,07-02-2024,U0045339,arunachal_pradesh,google_pay,343,Success,270,P2P,App,Android,1.09,Settled,0,0,,,,,,,,,,,
674261,26-02-2024,U0045389,bihar,bhim,222,Success,760,Bill,App,Android,4.64,Settled,0,0,,,,,,,,,,,
674262,23-02-2024,U0315622,manipur,phonepe,6353,Success,902,Recharge,App,Android,1.34,Settled,0,0,,,,,,,,,,,
674263,05-02-2024,U0488332,rajasthan,phonepe,916,Success,154,Bill,App,Android,0.2,Settled,0,0,,,,,,,,,,,
674264,09-02-2024,U0015222,gujarat,phonepe,107,Success,145,P2P,App,Android,0.41,Settled,0,0,,,,Row Labels,Count of TxnID,,,,,,
674265,14-02-2024,U0122146,mizoram,phonepe,320,Success,190,Bill,Web,Android,0.5,Settled,0,0,,,,karnataka,351,,351,,Row Labels,Count of TxnID,Count of BankID
674266,29-02-2024,U0165000,bihar,phonepe,61,Success,585,Recharge,Web,iOS,3.59,Settled,0,0,,,,maharashtra,345,,,,Success,6815,6815
674267,11-02-2024,U0156948,west_bengal,phonepe,960,Success,272,Bill,App,Android,5.84,Settled,0,0,,,,bihar,329,,,,Failed,138,138
