TxnID,TxnDate,UserID,StateCode,AppID,Amount,Status,FailReason,BankID,TxnType,Channel,DeviceOS,SettlementDelayHours,SettlementStatus,PendingTxns,FrozenFunds
597750,2023-03-05,U0255476,mizoram,phonepe,295,Success,,532,P2M,App,Android,1.17,Settled,0,0
597751,2023-03-27,U0307727,gujarat,paytm,1124,Failed,Server Downtime,971,P2P,App,Android,,Pending,0,2
597752,2023-03-23,U0362217,madhya_pradesh,bhim,789,Success,,429,P2M,App,iOS,2.08,Settled,0,0
597753,2023-03-21,U0108863,maharashtra,phonepe,3340,Success,,726,Bill,App,Android,0.21,Settled,0,0
597754,2023-03-26,U0436434,madhya_pradesh,phonepe,974,Success,,994,Bill,App,Android,5.02,Settled,0,0
597755,2023-03-02,U0111348,gujarat,phonepe,1391,Success,,174,Recharge,App,Android,1.01,Settled,0,0
597756,2023-03-26,U0405146,tamil_nadu,amazon_pay,156,Success,,879,Recharge,App,Android,0.45,Settled,0,0
597757,2023-03-29,U0082523,arunachal_pradesh,google_pay,104,Success,,460,P2P,App,Android,0.18,Settled,0,0
597758,2023-03-29,U0199600,punjab,google_pay,213,Success,,351,P2M,App,Android,1.44,Settled,0,0
597759,2023-03-28,U0168528,madhya_pradesh,google_pay,27,Success,,424,Recharge,App,Android,1.64,Settled,0,0
597760,2023-03-01,U0297568,chhattisgarh,phonepe,510,Success,,186,P2M,App,Android,2.68,Settled,0,0
597761,2023-03-06,U0239124,tripura,paytm,366,Success,,442,P2P,App,iOS,3.18,Settled,0,0
597762,2023-03-02,U0363562,chhattisgarh,supermoney,291,Success,,777,P2M,App,Android,0.74,Settled,0,0
597763,2023-03-12,U0296300,madhya_pradesh,amazon_pay,3155,Success,,103,P2M,App,Android,0.89,Settled,0,0
597764,2023-03-22,U0436214,delhi,google_pay,2114,Success,,991,P2M,App,Other,1.84,Settled,0,0
597765,2023-03-28,U0482794,bihar,google_pay,443,Success,,659,P2P,App,Android,0.61,Settled,0,0
597766,2023-03-12,U0352617,karnataka,paytm,451,Success,,136,Recharge,Web,Android,0.12,Settled,0,0
597767,2023-03-03,U0413458,telangana,paytm,402,Success,,974,Recharge,App,Android,2.09,Settled,0,0
597768,2023-03-20,U0255780,odisha,supermoney,507,Success,,497,Bill,Web,Android,0.15,Settled,0,0
597769,2023-03-12,U0336693,telangana,amazon_pay,94,Success,,545,Recharge,App,Android,0.44,Settled,0,0
597770,2023-03-01,U0207799,uttarakhand,paytm,539,Success,,521,P2P,App,Android,1.54,Settled,0,0
597771,2023-03-04,U0070038,bihar,google_pay,229,Success,,660,P2M,Web,Android,1.0,Settled,0,0
597772,2023-03-24,U0163716,manipur,phonepe,203,Success,,240,Recharge,App,iOS,0.87,Settled,0,0
597773,2023-03-13,U0362758,andhra_pradesh,google_pay,95,Success,,881,Recharge,App,iOS,2.02,Settled,0,0
597774,2023-03-27,U0084526,madhya_pradesh,google_pay,330,Success,,992,Recharge,App,iOS,0.2,Settled,0,0
597775,2023-03-19,U0004088,bihar,phonepe,950,Success,,713,Bill,App,iOS,0.78,Settled,0,0
597776,2023-03-12,U0143068,karnataka,phonepe,318,Success,,755,P2M,App,iOS,0.36,Settled,0,0
597777,2023-03-03,U0142079,tamil_nadu,paytm,66,Success,,519,Recharge,App,iOS,0.25,Settled,0,0
597778,2023-03-22,U0333832,maharashtra,phonepe,189,Success,,263,P2P,App,iOS,1.14,Settled,0,0
597779,2023-03-20,U0094972,punjab,supermoney,79,Success,,451,Recharge,App,Android,2.26,Settled,0,0
597780,2023-03-19,U0410012,arunachal_pradesh,google_pay,526,Success,,831,Bill,App,Android,0.89,Settled,0,0
597781,2023-03-07,U0068506,tamil_nadu,supermoney,287,Success,,442,P2P,App,iOS,1.93,Settled,0,0
597782,2023-03-16,U0077204,jammu_kashmir,amazon_pay,261,Success,,787,Bill,Web,Android,2.42,Settled,0,0
597783,2023-03-08,U0407806,karnataka,google_pay,120,Success,,285,P2M,App,Android,0.93,Settled,0,0
597784,2023-03-20,U0250951,rajasthan,google_pay,1479,Success,,938,P2P,App,Android,1.55,Settled,0,0
597785,2023-03-07,U0472578,kerala,phonepe,465,Success,,896,P2M,Web,Android,0.05,Settled,0,0
597786,2023-03-13,U0250054,karnataka,google_pay,2333,Success,,523,P2P,Web,Android,0.02,Settled,0,0
597787,2023-03-15,U0286292,madhya_pradesh,supermoney,67,Success,,599,P2M,App,Android,0.84,Settled,0,0
597788,2023-03-23,U0069911,madhya_pradesh,phonepe,2318,Success,,502,Bill,App,Android,1.62,Settled,0,0
